end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Rush St & Superior St,41.89576474564036,-87.62590803269998,9631,0.2926968622689705
Franklin St & Chicago Ave,41.89678999999954,-87.63563999999842,9619,0.29233216884697616
Sheffield Ave & Wellington Ave,41.93625348404127,-87.65266209706002,9614,0.2921802132544785
Morgan St & Polk St,41.87173700000028,-87.65102999999988,9587,0.29135965305499123
Sheffield Ave & Webster Ave,41.921540000000626,-87.65381800000146,9513,0.28911071028602603
Milwaukee Ave & Grand Ave,41.891578000000024,-87.64838400000004,9482,0.2881685856125406
Sheffield Ave & Wrightwood Ave,41.928711999999706,-87.65383299999893,9482,0.2881685856125406
Damen Ave & Pierce Ave,41.90930279513432,-87.67770096419564,9422,0.28634511850256883
Stockton Dr & Wrightwood Ave,41.93132000000125,-87.63874200000063,9416,0.2861627717915716
Clinton St & Washington Blvd 2,41.883378747252195,-87.6411700659348,9413,0.28607159843607305
Sedgwick St & Webster Ave,41.9221669999995,-87.6388880000009,9408,0.2859196428435754
Montrose Harbor,41.963982000000655,-87.63818099999811,9356,0.28433930468159985
Sheridan Rd & Montrose Ave,41.96166999999976,-87.65463999999864,9345,0.284005002378105
Sedgwick St & North Ave,41.910983000000265,-87.63852499999977,9331,0.2835795267191116
Mies van der Rohe Way & Chicago Ave,41.896944626370434,-87.62175768613815,9221,0.2802365036841633
Burling St & Diversey Pkwy,41.93314000000028,-87.647760000001,9146,0.2779571697966986
Clarendon Ave & Junior Ter,41.96100399999949,-87.64960299999917,9123,0.2772581740712094
Damen Ave & Chicago Ave,41.89568737053386,-87.67713508286394,9095,0.2764072227532226
Larrabee St & Kingsbury St,41.89776399999914,-87.6428839999981,9024,0.274249453339756
Dayton St & North Ave,41.910578034899096,-87.64942192879973,9022,0.2741886711027569
Wabash Ave & 9th St,41.8707690000004,-87.62573400000076,8925,0.27124073260830256
Field Blvd & South Water St,41.88634906269062,-87.61751654710106,8886,0.2700554789868209
Wells St & Randolph St,41.88429500000034,-87.63396300000021,8800,0.26744184279586136
Milwaukee Ave & The 606,41.913754000000004,-87.6826658000013,8796,0.2673202783218632
Clark St & Berwyn Ave,41.978023737146195,-87.66817962068433,8699,0.2643723398274088
Elston Ave & Cortland St,41.91643342912697,-87.66674637794495,8685,0.2639468641684154
St. Clair St & Erie St,41.8943477849261,-87.62280135667531,8658,0.2631263039689281
Clark St & Chicago Ave,41.896749999999905,-87.6308900000003,8547,0.25975288981548034
Millennium Park,41.88103170000153,-87.62408432000173,8546,0.2597224986969808
Wells St & Polk St,41.87273154226331,-87.63351649045944,8543,0.2596313253414822
Canal St & Monroe St,41.882905600000065,-87.63974089999955,8530,0.25923624080098834
Ritchie Ct & Banks St,41.90686599999959,-87.62621699999886,8519,0.2589019384974935
Sheffield Ave & Waveland Ave,41.949398999999445,-87.65452900000157,8441,0.25653143125453015
Wacker Dr & Washington St,41.88314336439042,-87.63724207878113,8422,0.2559540000030391
Southport Ave & Wellington Ave,41.93577461766398,-87.66360014677048,8320,0.2528541059160871
Clifton Ave & Armitage Ave,41.91821599999936,-87.65693599999992,8206,0.2493895184071407
